transaction_id,date,client_id,product_id,quantity,unit_price,total_price,discount,final_price,campaign_id
1,2015-01-01,145,6,1,367.17,367.17,55.08,312.09,
2,2015-01-01,344,8,1,162.41,162.41,40.6,121.81,
3,2015-01-01,111,1,1,181.93,181.93,0.0,181.93,
4,2015-01-01,171,7,1,299.58,299.58,0.0,299.58,
5,2015-01-02,104,8,2,190.39,380.78,0.0,380.78,
6,2015-01-02,231,3,2,693.18,1386.36,69.32,1317.04,
7,2015-01-02,327,5,2,272.58,545.16,27.26,517.9,
8,2015-01-03,165,2,2,454.23,908.46,90.85,817.61,
9,2015-01-04,32,7,2,326.55,653.1,97.97,555.13,
10,2015-01-07,340,4,2,164.23,328.46,0.0,328.46,
11,2015-01-07,554,5,2,258.03,516.06,77.41,438.65,
12,2015-01-08,158,1,2,194.43,388.86,0.0,388.86,
13,2015-01-09,492,4,1,137.91,137.91,20.69,117.22,
14,2015-01-09,84,8,1,192.38,192.38,0.0,192.38,
15,2015-01-10,501,5,2,229.56,459.12,45.91,413.21,
16,2015-01-10,379,3,1,692.41,692.41,69.24,623.17,
17,2015-01-11,276,10,2,27.37,54.74,0.0,54.74,
18,2015-01-11,88,6,2,371.57,743.14,0.0,743.14,
19,2015-01-11,233,9,1,109.46,109.46,0.0,109.46,
20,2015-01-12,549,8,1,182.62,182.62,27.39,155.23,
21,2015-01-12,515,10,2,32.4,64.8,0.0,64.8,
22,2015-01-12,151,2,2,490.43,980.86,0.0,980.86,
23,2015-01-13,172,4,2,159.25,318.5,63.7,254.8,
24,2015-01-13,207,3,1,746.78,746.78,112.02,634.76,
25,2015-01-13,69,2,1,439.93,439.93,0.0,439.93,
26,2015-01-14,283,9,2,119.0,238.0,0.0,238.0,
27,2015-01-14,536,7,1,276.75,276.75,41.51,235.24,
28,2015-01-14,103,2,2,455.64,911.28,91.13,820.15,
29,2015-01-14,353,7,1,285.85,285.85,0.0,285.85,
30,2015-01-14,485,1,2,186.89,373.78,0.0,373.78,
31,2015-01-15,412,1,1,195.83,195.83,0.0,195.83,
32,2015-01-15,51,8,2,195.15,390.3,39.03,351.27,
33,2015-01-16,319,5,1,267.14,267.14,0.0,267.14,
34,2015-01-16,234,3,1,672.07,672.07,0.0,672.07,
35,2015-01-17,329,5,1,261.44,261.44,26.14,235.3,
36,2015-01-18,217,7,1,314.46,314.46,0.0,314.46,
37,2015-01-18,58,9,1,127.0,127.0,19.05,107.95,
38,2015-01-19,139,9,2,129.1,258.2,12.91,245.29,
39,2015-01-19,206,1,1,189.98,189.98,0.0,189.98,
40,2015-01-19,204,5,2,243.42,486.84,0.0,486.84,
41,2015-01-20,127,1,2,189.68,379.36,0.0,379.36,
42,2015-01-20,486,10,1,30.31,30.31,0.0,30.31,
43,2015-01-22,265,2,1,430.66,430.66,21.53,409.13,
44,2015-01-22,227,4,1,155.33,155.33,15.53,139.8,
45,2015-01-22,10,8,1,194.81,194.81,0.0,194.81,
46,2015-01-23,9,4,2,142.57,285.14,0.0,285.14,
47,2015-01-23,282,7,1,323.73,323.73,0.0,323.73,
